material,radius_nm,epsilon_r,crystal_structure,band_gap_eV,Eg_bulk_eV,me_eff,mh_eff
InP,6.816,12.493,ZB,1.3946,1.34,0.08,0.6
ZnS,7.452,8.399,WZ,3.748,3.7,0.28,0.59
ZnO,1.737,7.928,WZ,3.8449,3.37,0.24,0.59
ZnS,2.033,8.271,WZ,4.0886,3.7,0.28,0.59
ZnS,5.071,8.309,WZ,3.648,3.7,0.28,0.59
ZnSe,7.994,9.02,ZB,2.7327,2.7,0.16,0.6
PbS,6.313,16.932,Rocksalt,0.612,0.41,0.09,0.08
TiO2,4.275,86.774,Rutile,3.0027,3.05,1.0,1.0
PbSe,4.179,23.674,Rocksalt,0.8086,0.28,0.07,0.07
ZnO,6.002,8.0,WZ,3.3792,3.37,0.24,0.59
ZnS,2.82,7.985,WZ,3.8879,3.7,0.28,0.59
ZnSe,4.292,9.023,ZB,2.7797,2.7,0.16,0.6
CdS,5.665,9.032,WZ,2.4442,2.42,0.2,0.6
InAs,3.882,14.023,ZB,1.361,0.36,0.026,0.41
TiO2,1.902,89.857,Rutile,3.2096,3.05,1.0,1.0
CsPbI3,6.055,30.39,Perovskite,1.8142,1.73,0.12,0.18
TiO2,4.564,86.189,Rutile,3.1255,3.05,1.0,1.0
CsPbI3,3.125,29.33,Perovskite,2.289,1.73,0.12,0.18
GaN,3.245,8.885,WZ,3.565,3.4,0.2,0.8
CdS,6.49,8.55,WZ,2.3027,2.42,0.2,0.6
ZnS,4.122,8.138,WZ,3.7734,3.7,0.28,0.59
GaAs,6.07,12.818,ZB,1.557,1.42,0.067,0.5
CdS,2.8,8.435,WZ,2.64,2.42,0.2,0.6
ZnO,7.094,8.173,WZ,3.2785,3.37,0.24,0.59
CdSe,3.539,9.349,ZB,1.9851,1.74,0.13,0.45
CdS,2.319,8.99,WZ,2.7592,2.42,0.2,0.6
CsPbBr3,3.72,24.862,Perovskite,2.6026,2.3,0.15,0.2
ZnO,3.115,7.921,WZ,3.5075,3.37,0.24,0.59
ZnSe,5.937,8.722,ZB,2.7381,2.7,0.16,0.6
InAs,3.398,14.631,ZB,1.6654,0.36,0.026,0.41
CsPbI3,2.734,30.661,Perovskite,2.407,1.73,0.12,0.18
CdSe,3.184,9.599,ZB,1.9816,1.74,0.13,0.45
GaN,4.22,8.912,WZ,3.436,3.4,0.2,0.8
PbSe,2.811,21.721,Rocksalt,1.7035,0.28,0.07,0.07
CdS,6.817,8.806,WZ,2.4841,2.42,0.2,0.6
CsPbI3,1.719,29.774,Perovskite,3.457,1.73,0.12,0.18
ZnO,6.71,7.989,WZ,3.3331,3.37,0.24,0.59
InP,1.621,12.803,ZB,3.3321,1.34,0.08,0.6
CdS,7.818,8.599,WZ,2.4551,2.42,0.2,0.6
ZnS,6.522,8.113,WZ,3.799,3.7,0.28,0.59
CsPbI3,3.512,29.635,Perovskite,2.121,1.73,0.12,0.18
GaAs,5.592,12.843,ZB,1.5983,1.42,0.067,0.5
CdSe,6.564,9.61,ZB,1.7779,1.74,0.13,0.45
InP,5.121,13.133,ZB,1.5429,1.34,0.08,0.6
CdS,6.733,8.89,WZ,2.4335,2.42,0.2,0.6
PbSe,4.129,23.369,Rocksalt,0.8949,0.28,0.07,0.07
CsPbI3,1.885,30.013,Perovskite,3.1281,1.73,0.12,0.18
ZnO,3.943,7.927,WZ,3.4921,3.37,0.24,0.59
CsPbBr3,6.293,25.18,Perovskite,2.3559,2.3,0.15,0.2
ZnS,2.547,8.476,WZ,3.9286,3.7,0.28,0.59
GaAs,7.143,13.339,ZB,1.4394,1.42,0.067,0.5
InP,4.464,12.44,ZB,1.6045,1.34,0.08,0.6
InP,4.08,12.277,ZB,1.56,1.34,0.08,0.6
CsPbI3,6.038,29.988,Perovskite,1.9332,1.73,0.12,0.18
InAs,5.456,14.265,ZB,0.824,0.36,0.026,0.41
ZnS,6.403,8.434,WZ,3.7189,3.7,0.28,0.59
CsPbI3,3.082,30.061,Perovskite,2.2102,1.73,0.12,0.18
CdS,2.963,8.907,WZ,2.573,2.42,0.2,0.6
GaAs,3.162,12.818,ZB,2.0667,1.42,0.067,0.5
CdSe,4.78,9.461,ZB,1.874,1.74,0.13,0.45
CdS,7.753,8.652,WZ,2.4586,2.42,0.2,0.6
CsPbBr3,7.649,24.863,Perovskite,2.3736,2.3,0.15,0.2
GaN,2.361,8.933,WZ,3.7001,3.4,0.2,0.8
CdSe,5.694,9.448,ZB,1.8004,1.74,0.13,0.45
CsPbBr3,4.562,24.99,Perovskite,2.4775,2.3,0.15,0.2
CdS,4.581,8.884,WZ,2.4752,2.42,0.2,0.6
ZnO,5.681,8.202,WZ,3.4214,3.37,0.24,0.59
CsPbI3,7.345,30.15,Perovskite,1.8211,1.73,0.12,0.18
InP,6.277,12.482,ZB,1.4205,1.34,0.08,0.6
InP,7.062,12.412,ZB,1.4539,1.34,0.08,0.6
ZnSe,6.626,8.965,ZB,2.7218,2.7,0.16,0.6
PbSe,5.591,23.669,Rocksalt,0.6986,0.28,0.07,0.07
ZnSe,7.006,9.088,ZB,2.6956,2.7,0.16,0.6
CsPbBr3,7.945,25.225,Perovskite,2.3544,2.3,0.15,0.2
GaAs,3.394,12.863,ZB,1.9549,1.42,0.067,0.5
CdS,4.667,8.783,WZ,2.4319,2.42,0.2,0.6
PbS,4.059,17.068,Rocksalt,0.9592,0.41,0.09,0.08
CdSe,7.177,9.471,ZB,1.8129,1.74,0.13,0.45
ZnS,6.466,8.109,WZ,3.7026,3.7,0.28,0.59
ZnSe,5.987,8.828,ZB,2.6821,2.7,0.16,0.6
CdSe,2.589,9.661,ZB,2.1229,1.74,0.13,0.45
InAs,6.433,14.72,ZB,0.646,0.36,0.026,0.41
PbS,1.657,17.112,Rocksalt,3.5264,0.41,0.09,0.08
CdSe,1.634,9.412,ZB,2.9734,1.74,0.13,0.45
ZnS,6.461,8.546,WZ,3.7389,3.7,0.28,0.59
ZnO,3.66,7.822,WZ,3.4089,3.37,0.24,0.59
InAs,7.307,14.635,ZB,0.6185,0.36,0.026,0.41
GaN,3.451,9.039,WZ,3.4992,3.4,0.2,0.8
TiO2,6.974,83.031,Rutile,3.1079,3.05,1.0,1.0
GaAs,6.16,13.147,ZB,1.5466,1.42,0.067,0.5
ZnS,7.288,8.086,WZ,3.6914,3.7,0.28,0.59
PbSe,4.562,23.078,Rocksalt,0.7631,0.28,0.07,0.07
GaN,7.948,9.063,WZ,3.374,3.4,0.2,0.8
InP,5.955,12.269,ZB,1.4577,1.34,0.08,0.6
CsPbI3,7.365,29.393,Perovskite,1.7589,1.73,0.12,0.18
GaN,4.905,8.784,WZ,3.4356,3.4,0.2,0.8
CdS,1.794,8.876,WZ,3.0359,2.42,0.2,0.6
CsPbBr3,4.599,25.705,Perovskite,2.4646,2.3,0.15,0.2
PbSe,2.807,23.392,Rocksalt,1.59,0.28,0.07,0.07
CsPbBr3,6.399,24.999,Perovskite,2.4355,2.3,0.15,0.2
CdSe,7.234,9.648,ZB,1.7793,1.74,0.13,0.45
ZnS,7.004,8.611,WZ,3.7211,3.7,0.28,0.59
CsPbI3,2.886,29.602,Perovskite,2.327,1.73,0.12,0.18
CdS,3.729,8.719,WZ,2.5201,2.42,0.2,0.6
PbS,5.428,17.198,Rocksalt,0.7395,0.41,0.09,0.08
ZnO,4.169,7.855,WZ,3.4149,3.37,0.24,0.59
CdSe,1.828,9.566,ZB,2.6395,1.74,0.13,0.45
InP,3.313,12.31,ZB,1.7563,1.34,0.08,0.6
PbS,4.828,17.341,Rocksalt,0.7559,0.41,0.09,0.08
InAs,2.26,14.366,ZB,3.3498,0.36,0.026,0.41
ZnS,4.08,8.364,WZ,3.6651,3.7,0.28,0.59
CdS,7.217,9.043,WZ,2.4505,2.42,0.2,0.6
CdS,6.759,9.17,WZ,2.3832,2.42,0.2,0.6
InP,3.319,12.416,ZB,1.7807,1.34,0.08,0.6
CsPbI3,3.247,28.947,Perovskite,2.1559,1.73,0.12,0.18
ZnO,7.281,7.854,WZ,3.3713,3.37,0.24,0.59
GaAs,6.036,12.992,ZB,1.5604,1.42,0.067,0.5
TiO2,3.056,84.408,Rutile,3.0957,3.05,1.0,1.0
InP,6.717,12.529,ZB,1.4453,1.34,0.08,0.6
InP,4.51,12.659,ZB,1.5487,1.34,0.08,0.6
CdSe,5.582,9.288,ZB,1.8092,1.74,0.13,0.45
InAs,1.935,15.063,ZB,4.3694,0.36,0.026,0.41
InAs,3.237,14.552,ZB,1.7621,0.36,0.026,0.41
PbS,1.922,17.199,Rocksalt,2.8044,0.41,0.09,0.08
InAs,7.278,14.518,ZB,0.6223,0.36,0.026,0.41
CdS,7.459,8.631,WZ,2.4181,2.42,0.2,0.6
InP,3.171,12.555,ZB,1.866,1.34,0.08,0.6
GaN,1.917,9.001,WZ,3.9318,3.4,0.2,0.8
CdSe,4.89,9.594,ZB,1.8336,1.74,0.13,0.45
ZnSe,3.856,8.797,ZB,2.8422,2.7,0.16,0.6
GaAs,2.733,13.187,ZB,2.2086,1.42,0.067,0.5
GaN,3.982,8.833,WZ,3.496,3.4,0.2,0.8
GaAs,5.307,12.797,ZB,1.6263,1.42,0.067,0.5
PbS,7.344,17.286,Rocksalt,0.5519,0.41,0.09,0.08
InAs,6.802,14.568,ZB,0.6846,0.36,0.026,0.41
TiO2,2.636,85.71,Rutile,3.0914,3.05,1.0,1.0
GaAs,5.287,12.625,ZB,1.5272,1.42,0.067,0.5
PbS,3.115,16.692,Rocksalt,1.2829,0.41,0.09,0.08
TiO2,5.757,84.241,Rutile,3.115,3.05,1.0,1.0
GaAs,2.218,12.812,ZB,2.6131,1.42,0.067,0.5
GaN,7.188,8.839,WZ,3.3975,3.4,0.2,0.8
CsPbBr3,1.709,26.016,Perovskite,3.7319,2.3,0.15,0.2
TiO2,4.265,84.786,Rutile,3.0731,3.05,1.0,1.0
InP,6.494,12.624,ZB,1.4616,1.34,0.08,0.6
GaAs,2.4,12.913,ZB,2.43,1.42,0.067,0.5
CsPbI3,4.444,31.622,Perovskite,1.9799,1.73,0.12,0.18
ZnSe,4.038,9.075,ZB,2.7812,2.7,0.16,0.6
InAs,7.477,14.454,ZB,0.6078,0.36,0.026,0.41
CsPbBr3,2.97,25.199,Perovskite,2.772,2.3,0.15,0.2
ZnO,4.491,7.981,WZ,3.3832,3.37,0.24,0.59
PbSe,7.179,22.845,Rocksalt,0.5091,0.28,0.07,0.07
InAs,7.825,14.465,ZB,0.6202,0.36,0.026,0.41
PbS,2.476,16.845,Rocksalt,1.7564,0.41,0.09,0.08
ZnS,4.447,8.266,WZ,3.7382,3.7,0.28,0.59
ZnS,6.916,8.187,WZ,3.7211,3.7,0.28,0.59
CsPbBr3,3.887,25.27,Perovskite,2.5464,2.3,0.15,0.2
TiO2,7.243,83.561,Rutile,3.0993,3.05,1.0,1.0
PbSe,5.726,23.751,Rocksalt,0.5585,0.28,0.07,0.07
CdS,1.85,8.708,WZ,2.9812,2.42,0.2,0.6
CdSe,6.856,9.274,ZB,1.7554,1.74,0.13,0.45
CdS,3.191,9.037,WZ,2.5915,2.42,0.2,0.6
ZnO,4.255,8.12,WZ,3.4335,3.37,0.24,0.59
GaN,3.955,9.111,WZ,3.4538,3.4,0.2,0.8
ZnO,6.191,7.977,WZ,3.3475,3.37,0.24,0.59
TiO2,3.069,84.415,Rutile,3.1083,3.05,1.0,1.0
GaN,4.599,9.188,WZ,3.4644,3.4,0.2,0.8
CsPbBr3,5.036,24.941,Perovskite,2.4279,2.3,0.15,0.2
ZnS,3.598,8.478,WZ,3.7815,3.7,0.28,0.59
CdSe,5.627,9.381,ZB,1.8169,1.74,0.13,0.45
CdSe,7.022,9.774,ZB,1.7752,1.74,0.13,0.45
CdSe,4.863,9.208,ZB,1.8897,1.74,0.13,0.45
CdS,2.777,8.914,WZ,2.6288,2.42,0.2,0.6
ZnSe,6.163,9.081,ZB,2.7421,2.7,0.16,0.6
InP,4.181,12.342,ZB,1.577,1.34,0.08,0.6
CsPbBr3,3.381,25.598,Perovskite,2.6876,2.3,0.15,0.2
CdS,5.406,8.742,WZ,2.4588,2.42,0.2,0.6
CdSe,3.382,9.121,ZB,1.9634,1.74,0.13,0.45
CsPbBr3,5.003,24.553,Perovskite,2.434,2.3,0.15,0.2
TiO2,4.893,87.337,Rutile,3.0228,3.05,1.0,1.0
ZnSe,3.473,8.999,ZB,2.8676,2.7,0.16,0.6
ZnO,2.262,7.942,WZ,3.6549,3.37,0.24,0.59
GaN,6.588,9.04,WZ,3.4023,3.4,0.2,0.8
CsPbBr3,6.164,25.462,Perovskite,2.4491,2.3,0.15,0.2
InAs,5.21,14.692,ZB,0.9254,0.36,0.026,0.41
PbS,7.46,16.957,Rocksalt,0.5779,0.41,0.09,0.08
ZnSe,2.774,8.922,ZB,2.9713,2.7,0.16,0.6
PbSe,3.444,23.731,Rocksalt,1.2161,0.28,0.07,0.07
PbS,5.099,16.52,Rocksalt,0.7779,0.41,0.09,0.08
CdS,4.949,8.938,WZ,2.422,2.42,0.2,0.6
PbSe,2.498,21.84,Rocksalt,2.0671,0.28,0.07,0.07
GaN,6.208,9.367,WZ,3.5088,3.4,0.2,0.8
ZnO,5.017,8.104,WZ,3.3438,3.37,0.24,0.59
TiO2,7.954,85.592,Rutile,3.0904,3.05,1.0,1.0
CdS,2.325,8.733,WZ,2.8015,2.42,0.2,0.6
CdSe,1.881,9.611,ZB,2.5985,1.74,0.13,0.45
CdSe,5.142,9.789,ZB,1.8124,1.74,0.13,0.45
GaN,3.55,8.809,WZ,3.5057,3.4,0.2,0.8
InAs,6.318,14.278,ZB,0.7513,0.36,0.026,0.41
InAs,4.643,14.479,ZB,1.0408,0.36,0.026,0.41
CsPbI3,5.656,29.946,Perovskite,1.8267,1.73,0.12,0.18
GaAs,4.833,12.882,ZB,1.669,1.42,0.067,0.5
CsPbBr3,7.854,25.562,Perovskite,2.3586,2.3,0.15,0.2
ZnS,4.63,8.193,WZ,3.7306,3.7,0.28,0.59
PbSe,2.176,23.726,Rocksalt,2.457,0.28,0.07,0.07
TiO2,4.475,85.822,Rutile,3.1067,3.05,1.0,1.0
CdSe,2.831,9.3,ZB,2.117,1.74,0.13,0.45
TiO2,6.281,86.128,Rutile,3.0387,3.05,1.0,1.0
InAs,1.817,14.611,ZB,4.9701,0.36,0.026,0.41
CdSe,4.595,9.718,ZB,1.8056,1.74,0.13,0.45
CdSe,5.52,9.7,ZB,1.8137,1.74,0.13,0.45
ZnO,1.757,7.862,WZ,3.9089,3.37,0.24,0.59
InP,6.095,12.277,ZB,1.4343,1.34,0.08,0.6
PbS,6.987,17.491,Rocksalt,0.5973,0.41,0.09,0.08
CsPbI3,5.209,30.482,Perovskite,1.9273,1.73,0.12,0.18
GaAs,7.688,12.729,ZB,1.4859,1.42,0.067,0.5
CdS,7.46,8.991,WZ,2.399,2.42,0.2,0.6
GaAs,7.672,13.013,ZB,1.5046,1.42,0.067,0.5
InP,6.167,12.122,ZB,1.4573,1.34,0.08,0.6
TiO2,2.857,87.906,Rutile,3.1647,3.05,1.0,1.0
CsPbBr3,3.47,25.103,Perovskite,2.672,2.3,0.15,0.2
InP,3.545,12.381,ZB,1.746,1.34,0.08,0.6
ZnSe,4.765,9.081,ZB,2.7616,2.7,0.16,0.6
CsPbI3,4.753,29.543,Perovskite,1.9582,1.73,0.12,0.18
GaAs,1.894,12.859,ZB,3.0917,1.42,0.067,0.5
GaN,6.4,8.846,WZ,3.3897,3.4,0.2,0.8
CdS,5.378,8.868,WZ,2.4998,2.42,0.2,0.6
TiO2,3.456,82.83,Rutile,3.1316,3.05,1.0,1.0
InAs,7.982,14.674,ZB,0.5854,0.36,0.026,0.41
InAs,7.476,14.39,ZB,0.6148,0.36,0.026,0.41
GaN,2.073,8.759,WZ,3.7738,3.4,0.2,0.8
ZnSe,3.978,9.17,ZB,2.7909,2.7,0.16,0.6
CsPbI3,6.265,31.001,Perovskite,1.8841,1.73,0.12,0.18
ZnO,5.832,8.237,WZ,3.3856,3.37,0.24,0.59
ZnSe,4.199,8.904,ZB,2.8411,2.7,0.16,0.6
CdS,4.234,8.508,WZ,2.4602,2.42,0.2,0.6
GaAs,4.826,13.421,ZB,1.6681,1.42,0.067,0.5
CdS,3.563,8.96,WZ,2.6173,2.42,0.2,0.6
CsPbBr3,6.206,24.947,Perovskite,2.4366,2.3,0.15,0.2
ZnSe,4.014,9.313,ZB,2.8558,2.7,0.16,0.6
InP,7.119,12.608,ZB,1.4435,1.34,0.08,0.6
CdS,3.218,9.16,WZ,2.5556,2.42,0.2,0.6
TiO2,2.194,86.638,Rutile,3.2476,3.05,1.0,1.0
ZnS,2.482,8.291,WZ,3.8884,3.7,0.28,0.59
ZnS,2.188,8.268,WZ,3.9792,3.7,0.28,0.59
TiO2,6.981,84.688,Rutile,3.0647,3.05,1.0,1.0
InP,6.449,12.592,ZB,1.4065,1.34,0.08,0.6
CdSe,5.601,9.88,ZB,1.8425,1.74,0.13,0.45
CsPbI3,6.609,29.784,Perovskite,1.8068,1.73,0.12,0.18
ZnO,3.92,7.973,WZ,3.3496,3.37,0.24,0.59
PbSe,6.705,22.346,Rocksalt,0.4959,0.28,0.07,0.07
CsPbBr3,6.15,25.51,Perovskite,2.4119,2.3,0.15,0.2
InAs,6.053,14.762,ZB,0.7476,0.36,0.026,0.41
ZnS,4.08,8.171,WZ,3.6944,3.7,0.28,0.59
InP,7.018,12.472,ZB,1.447,1.34,0.08,0.6
CsPbI3,7.527,30.935,Perovskite,1.835,1.73,0.12,0.18
GaAs,4.816,12.671,ZB,1.6668,1.42,0.067,0.5
InAs,6.159,13.987,ZB,0.6775,0.36,0.026,0.41
PbSe,5.744,22.118,Rocksalt,0.5351,0.28,0.07,0.07
ZnS,7.97,8.249,WZ,3.6507,3.7,0.28,0.59
GaN,5.454,8.83,WZ,3.4227,3.4,0.2,0.8
PbS,6.292,17.516,Rocksalt,0.6173,0.41,0.09,0.08
CsPbBr3,7.338,25.406,Perovskite,2.3579,2.3,0.15,0.2
ZnO,5.654,8.163,WZ,3.3979,3.37,0.24,0.59
InAs,3.22,14.886,ZB,1.8922,0.36,0.026,0.41
PbSe,7.899,22.429,Rocksalt,0.4264,0.28,0.07,0.07
CdSe,2.186,9.397,ZB,2.3922,1.74,0.13,0.45
InAs,4.189,14.661,ZB,1.1399,0.36,0.026,0.41
ZnSe,3.603,9.418,ZB,2.9167,2.7,0.16,0.6
CsPbI3,5.405,29.782,Perovskite,1.8464,1.73,0.12,0.18
TiO2,6.107,87.989,Rutile,3.0306,3.05,1.0,1.0
ZnS,1.813,8.286,WZ,4.1499,3.7,0.28,0.59
PbSe,7.952,23.597,Rocksalt,0.4343,0.28,0.07,0.07
ZnO,4.586,8.119,WZ,3.4316,3.37,0.24,0.59
ZnO,6.828,7.972,WZ,3.358,3.37,0.24,0.59
ZnS,2.78,8.075,WZ,3.8424,3.7,0.28,0.59
GaN,6.505,8.871,WZ,3.4159,3.4,0.2,0.8
CsPbBr3,3.73,25.151,Perovskite,2.5468,2.3,0.15,0.2
GaAs,4.386,13.358,ZB,1.7449,1.42,0.067,0.5
ZnSe,3.475,8.881,ZB,2.872,2.7,0.16,0.6
GaAs,6.634,12.917,ZB,1.5356,1.42,0.067,0.5
GaAs,7.841,12.649,ZB,1.5207,1.42,0.067,0.5
ZnS,3.054,8.214,WZ,3.8689,3.7,0.28,0.59
ZnS,2.39,8.06,WZ,3.944,3.7,0.28,0.59
TiO2,3.48,82.328,Rutile,3.1229,3.05,1.0,1.0
CsPbBr3,6.763,25.032,Perovskite,2.4231,2.3,0.15,0.2
ZnSe,5.321,9.053,ZB,2.7768,2.7,0.16,0.6
PbS,2.188,16.511,Rocksalt,2.2567,0.41,0.09,0.08
ZnO,2.48,7.927,WZ,3.6601,3.37,0.24,0.59
CsPbI3,2.193,30.311,Perovskite,2.8346,1.73,0.12,0.18
GaAs,6.834,12.627,ZB,1.5523,1.42,0.067,0.5
CsPbBr3,5.002,24.991,Perovskite,2.5386,2.3,0.15,0.2
ZnS,4.512,8.224,WZ,3.7254,3.7,0.28,0.59
ZnS,6.206,8.127,WZ,3.68,3.7,0.28,0.59
GaN,3.481,8.793,WZ,3.574,3.4,0.2,0.8
GaAs,7.161,12.665,ZB,1.479,1.42,0.067,0.5
CdSe,7.929,9.416,ZB,1.8112,1.74,0.13,0.45
ZnSe,5.17,9.112,ZB,2.7026,2.7,0.16,0.6
CsPbI3,4.843,29.676,Perovskite,1.9146,1.73,0.12,0.18
GaAs,4.176,12.65,ZB,1.7624,1.42,0.067,0.5
CsPbI3,5.769,30.002,Perovskite,1.9005,1.73,0.12,0.18
CdSe,3.231,9.482,ZB,2.0628,1.74,0.13,0.45
GaAs,4.495,12.754,ZB,1.6727,1.42,0.067,0.5
CdSe,4.895,9.113,ZB,1.8253,1.74,0.13,0.45
ZnO,2.804,8.318,WZ,3.5395,3.37,0.24,0.59
ZnSe,4.095,8.927,ZB,2.7972,2.7,0.16,0.6
PbSe,5.908,22.626,Rocksalt,0.5307,0.28,0.07,0.07
PbS,5.183,17.69,Rocksalt,0.6942,0.41,0.09,0.08
InP,1.769,12.375,ZB,2.9265,1.34,0.08,0.6
InAs,6.613,14.69,ZB,0.6739,0.36,0.026,0.41
PbS,5.547,16.989,Rocksalt,0.7355,0.41,0.09,0.08
InAs,7.588,14.591,ZB,0.5646,0.36,0.026,0.41
ZnSe,5.173,8.904,ZB,2.7435,2.7,0.16,0.6
ZnS,7.922,8.466,WZ,3.6236,3.7,0.28,0.59
ZnO,5.071,8.177,WZ,3.3774,3.37,0.24,0.59
GaAs,6.271,12.531,ZB,1.4789,1.42,0.067,0.5
InAs,5.514,14.695,ZB,0.8822,0.36,0.026,0.41
ZnS,4.041,8.016,WZ,3.7264,3.7,0.28,0.59
GaN,3.624,8.805,WZ,3.5513,3.4,0.2,0.8
ZnSe,5.854,8.988,ZB,2.7258,2.7,0.16,0.6
GaN,4.312,8.737,WZ,3.4697,3.4,0.2,0.8
CdS,4.149,9.049,WZ,2.4308,2.42,0.2,0.6
PbS,4.224,17.098,Rocksalt,0.882,0.41,0.09,0.08
InP,2.429,12.244,ZB,2.2009,1.34,0.08,0.6
InAs,7.397,14.431,ZB,0.57,0.36,0.026,0.41
CdSe,6.673,9.477,ZB,1.7748,1.74,0.13,0.45
PbS,3.893,17.075,Rocksalt,0.9938,0.41,0.09,0.08
GaAs,3.627,13.028,ZB,1.8898,1.42,0.067,0.5
InAs,5.356,14.567,ZB,0.8772,0.36,0.026,0.41
PbS,3.929,17.112,Rocksalt,0.9429,0.41,0.09,0.08
CsPbI3,7.651,30.586,Perovskite,1.8767,1.73,0.12,0.18
ZnSe,7.26,9.272,ZB,2.7121,2.7,0.16,0.6
PbS,5.013,17.376,Rocksalt,0.7095,0.41,0.09,0.08
CsPbBr3,6.582,24.955,Perovskite,2.3756,2.3,0.15,0.2
CsPbI3,2.381,29.714,Perovskite,2.6988,1.73,0.12,0.18
CdS,2.662,8.96,WZ,2.6648,2.42,0.2,0.6
ZnSe,4.357,9.126,ZB,2.786,2.7,0.16,0.6
GaAs,2.426,13.084,ZB,2.3938,1.42,0.067,0.5
CsPbBr3,7.786,26.095,Perovskite,2.3725,2.3,0.15,0.2
ZnO,6.693,7.816,WZ,3.3261,3.37,0.24,0.59
CsPbBr3,1.84,24.957,Perovskite,3.5517,2.3,0.15,0.2
PbSe,3.922,23.069,Rocksalt,0.9033,0.28,0.07,0.07
PbS,4.799,16.712,Rocksalt,0.8125,0.41,0.09,0.08
CdSe,7.191,9.372,ZB,1.7818,1.74,0.13,0.45
CsPbI3,4.936,30.291,Perovskite,1.9853,1.73,0.12,0.18
CdSe,6.347,9.315,ZB,1.8326,1.74,0.13,0.45
GaN,2.362,8.662,WZ,3.6888,3.4,0.2,0.8
ZnO,2.003,8.2,WZ,3.7881,3.37,0.24,0.59
ZnSe,5.309,9.099,ZB,2.6975,2.7,0.16,0.6
CdSe,7.971,9.442,ZB,1.7783,1.74,0.13,0.45
CdSe,4.85,9.257,ZB,1.8911,1.74,0.13,0.45
CsPbI3,4.053,29.187,Perovskite,2.04,1.73,0.12,0.18
CsPbBr3,2.309,26.002,Perovskite,3.1331,2.3,0.15,0.2
CdSe,3.041,9.63,ZB,2.0519,1.74,0.13,0.45
PbS,2.082,17.184,Rocksalt,2.346,0.41,0.09,0.08
PbS,4.939,16.581,Rocksalt,0.7518,0.41,0.09,0.08
GaAs,4.433,13.165,ZB,1.609,1.42,0.067,0.5
CsPbBr3,7.643,25.153,Perovskite,2.418,2.3,0.15,0.2
InAs,3.722,14.46,ZB,1.4596,0.36,0.026,0.41
ZnO,3.781,7.806,WZ,3.443,3.37,0.24,0.59
InAs,1.811,15.326,ZB,4.9848,0.36,0.026,0.41
CsPbI3,7.055,30.485,Perovskite,1.8291,1.73,0.12,0.18
InP,4.903,12.675,ZB,1.4561,1.34,0.08,0.6
CdSe,4.584,9.329,ZB,1.8634,1.74,0.13,0.45
ZnO,7.092,8.053,WZ,3.3423,3.37,0.24,0.59
InAs,4.203,14.246,ZB,1.1191,0.36,0.026,0.41
CdS,3.206,9.064,WZ,2.5564,2.42,0.2,0.6
GaN,4.575,9.091,WZ,3.4642,3.4,0.2,0.8
InP,2.14,13.014,ZB,2.4007,1.34,0.08,0.6
CdSe,1.624,9.12,ZB,2.9335,1.74,0.13,0.45
ZnSe,4.035,9.027,ZB,2.7769,2.7,0.16,0.6
InP,3.475,12.415,ZB,1.6535,1.34,0.08,0.6
CsPbI3,1.753,30.178,Perovskite,3.4306,1.73,0.12,0.18
GaN,5.472,9.191,WZ,3.4529,3.4,0.2,0.8
